_r,_RAJ2000,_DEJ2000,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP
2.2623,132.8384328228489,11.7646530701665,1.1748,-11.72,-2.232,12.110562,12.405289,11.654709,0.75058,0.294726,0.455853
2.2663,132.8452697226369,11.8321613358458,0.1467,1.561,-5.536,18.47714,19.120176,17.610085,1.510092,0.643036,0.867056
2.2685,132.8635724624452,11.8027703671397,1.2571,-11.047,-2.918,17.012089,17.940544,16.05969,1.880854,0.928455,0.952398
2.2725,132.8620697684203,11.810979632291,1.0113,-7.869,-1.643,13.27784,,,,,
2.3036,132.8490611394328,11.8303719414826,1.1074,-11.171,-2.82,11.241152,11.687434,10.627985,1.059449,0.446282,0.613167
2.3166,132.78709693562,11.8104952277685,0.8709,-10.515,6.575,13.810784,14.174703,13.281955,0.892748,0.363918,0.52883
2.3174,132.8637231431913,11.7925034880665,0.571,-4.249,-2.643,14.609119,14.863294,14.199168,0.664125,0.254174,0.409951
2.3241,132.8200853145847,11.7615843188746,1.1697,-11.007,-2.929,13.967261,14.32682,13.43809,0.88873,0.359559,0.529171
2.3284,132.826091424382,11.838806177619,1.0674,-10.915,-2.738,14.131107,14.469818,13.620501,0.849317,0.338711,0.510606
2.3318,132.8139337041677,11.8373215507574,1.118,-10.845,-2.602,12.653306,12.94124,12.207978,0.733262,0.287934,0.445328
2.4109,132.8515530892212,11.8306982311599,1.1538,-10.817,-3.012,14.886848,15.263571,14.313904,0.949667,0.376723,0.572944
2.4423,132.8338574594983,11.8397943478156,1.1394,-11.032,-2.703,13.801401,14.10154,13.340214,0.761326,0.300138,0.461187
2.4553,132.8666155367642,11.7961171065365,,,,21.034735,20.776396,20.526667,0.249729,-0.258339,0.508068
2.4756,132.8605098109387,11.8223164614773,1.1482,-10.752,-2.486,13.336247,13.633525,12.878822,0.754703,0.297277,0.457425
2.4781,132.8632649381381,11.7824989282466,2.4529,-12.18,-3.81,20.432144,20.303526,19.779701,0.523825,-0.128618,0.652443
2.4876,132.7849354222697,11.7867073466069,1.2097,-10.963,-2.779,12.12951,12.616509,11.484777,1.131733,0.486999,0.644733
2.4993,132.7825495668367,11.8025905874257,1.7649,-4.815,1.99,11.448335,11.656084,11.086772,0.569312,0.207749,0.361563
2.5039,132.7839938081969,11.811417415413,,,,20.225897,,,,,
2.5121,132.7839596086712,11.8117459837769,1.4313,-12.481,-31.719,16.408356,17.342876,15.404846,1.93803,0.934521,1.00351
2.5308,132.8195751938412,11.7581740826272,1.0553,-11.171,-2.686,12.210929,12.586007,11.664188,0.921819,0.375078,0.546741
2.5415,132.7990308537892,11.8338616260932,1.0587,-11.067,-3.178,15.109005,15.623593,14.436963,1.18663,0.514588,0.672042
2.5876,132.8069249536686,11.8393483515794,2.5044,-1.595,-4.492,20.068428,20.737635,19.124844,1.612791,0.669207,0.943584
